#ID	cluster
TH38_1328_S01	cluster2
THR19_0437_S01	cluster2
TH01_0709_S02	cluster3
TH01_0718_S01	cluster1
THR14_1221_S01	cluster6
THR19_0418_S01	cluster2
TH01_0664_S01	cluster3
THR21_0525_S01	cluster2
THR14_1191_S01	cluster6
THR14_1202_S01	cluster6
THR14_1197_S01	cluster2
TH38_1432_S01	cluster1
TH01_0122_S01	cluster3
THR21_0556_S01	cluster2
THR19_0471_S01	cluster2
TARGET-51-PAJLIV-01	cluster7
THR19_0430_S01	cluster2
THR19_0469_S01	cluster2
THR19_0436_S01	cluster2
THR14_1213_S01	cluster4
THR14_1199_S01	cluster1
THR14_1199_S02	cluster1
THR14_1200_S01	cluster2
THR14_1182_S01	cluster4
THR19_0417_S01	cluster2
TH01_0666_S01	cluster3
THR19_0426_S01	cluster2
TH01_0666_S03	cluster3
TH01_0672_S01	cluster1
THR19_0473_S01	cluster2
TARGET-51-PALEIR-01	cluster7
THR14_1206_S01	cluster2
THR21_0524_S01	cluster2
TH01_0126_S01	cluster3
THR14_1222_S01	cluster6
TH38_1330_S01	cluster3
TH38_1341_S02	cluster2
TH38_1341_S01	cluster2
TH38_1337_S01	cluster2
TH01_0119_S01	cluster3
TH38_1441_S01	cluster2
THR14_1212_S01	cluster6
THR12_0368_S01	cluster5
THR14_1214_S01	cluster6
THR14_1194_S01	cluster2
TH01_0677_S01	cluster1
TH38_1323_S01	cluster2
THR14_1190_S01	cluster6
TH38_1425_S01	cluster1
THR14_1193_S01	cluster2
TARGET-51-PAJNCV-01	cluster7
THR21_0541_S01	cluster1
TH38_1435_S01	cluster1
TH38_1435_S02	cluster1
THR19_0474_S01	cluster2
THR21_0555_S01	cluster2
THR21_0534_S01	cluster1
THR14_1223_S01	cluster6
TARGET-51-PAJMFS-01	cluster7
THR14_1220_S01	cluster2
THR12_0369_S01	cluster5
THR12_0370_S01	cluster5
THR19_0448_S01	cluster2
THR21_0532_S01	cluster2
TH01_0675_S01	cluster1
THR14_1185_S01	cluster4
TH38_1313_S01	cluster2
THR14_1184_S01	cluster6
THR21_0557_S01	cluster2
THR19_0416_S01	cluster2
THR21_0546_S01	cluster2
THR14_1195_S01	cluster2
THR21_0554_S02	cluster2
TH01_0124_S01	cluster3
TH38_1309_S01	cluster1
TH38_1335_S02	cluster1
TH38_1335_S01	cluster1
THR21_0558_S01	cluster2
TH38_1342_S01	cluster2
THR21_0539_S01	cluster2
THR19_0429_S01	cluster2
THR12_0366_S04	cluster5
THR19_0432_S01	cluster2
TH38_1417_S01	cluster6
THR12_0366_S03	cluster5
THR12_0366_S02	cluster5
TH38_1327_S01	cluster2
THR21_0537_S01	cluster2
TH01_0134_S01	cluster3
THR21_0547_S01	cluster2
THR12_0280_S04	cluster5
TH38_1422_S01	cluster2
THR19_0468_S01	cluster2
TH38_1318_S01	cluster2
THR12_0280_S03	cluster5
TH01_0680_S01	cluster1
TH01_0681_S01	cluster1
TH01_0681_S02	cluster1
THR21_0527_S01	cluster2
THR19_0413_S01	cluster2
THR21_0521_S01	cluster2
THR12_0281_S01	cluster5
THR14_1237_S01	cluster2
THR14_1232_S01	cluster4
THR19_0424_S01	cluster2
TH01_0711_S01	cluster3
TH01_0671_S01	cluster1
THR21_0545_S01	cluster2
THR14_1218_S01	cluster6
TH01_0133_S01	cluster3
TH38_1436_S01	cluster1
TARGET-51-PALLXV-01	cluster7
THR14_0310_S02	cluster2
THR21_0543_S01	cluster2
THR21_0548_S01	cluster1
TH38_1340_S02	cluster2
THR14_1208_S01	cluster2
THR14_1189_S01	cluster6
THR19_0421_S01	cluster2
TH01_0714_S01	cluster3
